id_case,id_biter,x_coord,y_coord,owned,date_symptoms,days_uncertain
3245,0,664218.000657496,9807673.40776146,FALSE,2007-03-15,0
3246,0,660414.46627116,9813704.91662413,FALSE,2007-02-05,7
3540,3541,674621.175224082,9816588.55604959,TRUE,2008-03-09,0
3543,3541,674301.119064644,9815256.68603428,TRUE,2008-02-25,7
3544,3541,673895.383679505,9816173.47715297,TRUE,2008-02-25,7
3545,3541,673666.234886471,9815278.36800194,TRUE,2008-02-25,7
3546,3541,674250.638787366,9816476.58271356,TRUE,2008-03-01,0
3600,0,667074.50737976,9804925.64192965,FALSE,2008-03-18,0
3624,0,678349.442739334,9806888.16658556,FALSE,2008-03-25,7
3683,0,647080.618621545,9801389.44460689,FALSE,2008-05-25,7
3684,3683,646879.574639486,9800901.45864156,TRUE,2008-06-06,0
3721,3781,702953.614314672,9796688.82603086,TRUE,2008-08-07,0
3723,3756,698435.461811925,9789930.24611274,TRUE,2008-08-07,0
3725,0,695344.318038028,9796928.51631672,TRUE,2008-11-14,0
3727,3728,700540.234543338,9794529.68434614,TRUE,2009-01-17,0
3781,0,702832.458633117,9796629.30331174,FALSE,2008-07-15,7
3782,3781,702606.797910415,9797277.60713063,TRUE,2008-07-25,7
3795,0,665511.112601553,9794215.35490697,TRUE,2008-07-28,0
3798,0,647354.657486263,9814031.13306407,TRUE,2004-12-15,28
3824,0,683469.102247311,9804372.80889769,TRUE,2005-07-26,0
3841,0,675663.744833167,9800062.41138255,TRUE,2007-01-08,0
3849,0,671404.718804117,9781944.02922417,TRUE,2007-11-04,0
3857,0,694657.536516184,9796838.95077758,TRUE,2008-10-21,0
3875,0,688116.184999897,9761318.47406218,FALSE,2008-12-17,0
3901,3900,698333.296091409,9796832.30980431,TRUE,2007-04-05,7
3911,0,671977.047559296,9789196.98281782,TRUE,2007-06-26,7
3912,0,674833.103218047,9792304.06071431,TRUE,2007-08-24,0
3945,0,661410.543497651,9814148.12771568,TRUE,2007-11-25,7
3949,0,662662.600191688,9813712.25186377,TRUE,2005-11-18,0
3954,0,690035.025098261,9803562.44735147,FALSE,2008-11-27,0
3988,0,685282.302778956,9796339.32022393,FALSE,2009-01-31,0
3993,0,691919.354742348,9805145.88276853,FALSE,2009-03-27,0
3995,0,699863.97435055,9804731.88483712,TRUE,2009-04-09,0
4016,0,680963.679636271,9806504.35277169,FALSE,2009-01-19,0
4017,0,684618.391443248,9805014.48249309,FALSE,2008-05-05,7
4021,0,689256.347634373,9798553.43486904,TRUE,2009-07-19,0
4028,3995,699444.319116862,9804180.15400483,TRUE,2009-05-15,7
4030,0,666456.090536976,9821429.97299463,TRUE,2007-11-22,0
4037,4030,667303.378321101,9821191.46055005,TRUE,2007-11-25,7
4079,0,668014.025212026,9818097.16444738,FALSE,2007-10-15,7
4101,0,682460.494159446,9802844.58006943,TRUE,2009-06-05,7
4102,0,649415.12805072,9776010.31398801,TRUE,2007-06-25,0
4103,0,650614.249794498,9779337.79738714,FALSE,2006-07-19,7
4109,0,682775.498054697,9785377.86104521,FALSE,2007-07-20,0
4111,3783,687177.398779087,9817655.03206159,TRUE,2008-08-15,7
4116,0,675560.418270925,9790491.34291568,TRUE,2008-03-06,0
4118,0,668328.329653939,9831756.62607532,FALSE,2009-11-05,7
4131,4130,640651.586207234,9809480.29607581,TRUE,2009-12-23,0
4136,4130,639884.922105704,9809273.73626808,TRUE,2009-12-29,7
4147,0,651983.130328882,9824730.45809048,FALSE,2009-11-15,7
4159,0,651420.503596919,9826473.74192874,TRUE,2010-04-01,0
4182,0,661807.246087706,9818977.88856823,FALSE,2010-05-03,0
4192,4194,673847.597781376,9802595.42559542,TRUE,2009-05-01,28
4193,4194,674955.849840579,9804199.19318927,TRUE,2009-05-01,28
4198,0,683161.996990338,9811287.38024792,TRUE,2007-12-01,28
4205,0,677077.765259905,9802147.01423537,TRUE,2010-05-01,28
4206,0,677771.876814788,9801652.83014136,TRUE,2010-05-01,28
4402,0,662446.665298953,9798365.00775173,TRUE,2010-06-10,0
4457,0,674931.616791678,9794812.9501117,FALSE,2010-08-12,0
4470,0,677972.959736019,9794186.15745357,FALSE,2010-08-05,0
4497,0,681521.102432665,9806467.96239595,FALSE,2010-09-02,0
4506,0,678859.864418034,9807319.58428921,FALSE,2010-07-03,0
4522,0,674336.077681116,9806920.03674308,FALSE,2010-08-15,7
4546,0,667904.403172108,9791639.8115051,FALSE,2010-09-30,0
4560,4550,667493.964169146,9793084.8966234,TRUE,2010-10-18,0
4592,4581,669373.040156321,9808415.26205245,TRUE,2010-10-18,0
4593,0,670168.337648201,9808686.94415059,TRUE,2010-08-15,7
4620,0,675333.021123837,9817355.03679297,FALSE,2010-09-09,0
4640,4641,684905.402341009,9795979.11818261,TRUE,2010-09-09,0
4687,0,673851.552011524,9790041.24296947,FALSE,2010-11-22,0
4819,0,642190.263068144,9811371.1694392,FALSE,2010-09-15,7
5015,0,687994.416503215,9762144.43775552,FALSE,2010-05-30,0
5017,0,669627.147077758,9825506.68399445,FALSE,2011-01-07,0
5082,0,672477.085560368,9793863.88403728,FALSE,2011-01-25,7
5085,5084,667443.197810554,9822603.66969559,TRUE,2011-01-25,7
5127,0,664318.631847217,9819859.43314803,FALSE,2011-01-05,7
5169,5250,646680.85722172,9824118.91988667,TRUE,2010-12-19,0
5309,5310,679645.858008554,9808254.82417232,TRUE,2011-06-09,0
5310,0,680586.692708684,9809525.98380212,FALSE,2011-05-15,7
5347,0,692419.995346073,9792327.712701,TRUE,2011-08-04,0
5380,0,678688.011432751,9807083.63276754,TRUE,2011-09-29,0
5387,0,657945.021976006,9802076.15102888,TRUE,2011-09-05,0
5439,0,645675.930953186,9815425.36638488,FALSE,2010-12-25,7
5544,0,673786.673589737,9804454.49957929,FALSE,2010-11-15,7
5677,0,670942.656436633,9814826.89495139,TRUE,2011-01-15,7
5708,0,668534.971466706,9791826.76003696,FALSE,2011-04-20,0
5901,0,679005.179914786,9798615.99394516,TRUE,2011-03-05,7
5902,5901,678016.296051117,9799048.93680126,TRUE,2011-04-05,7
5904,0,667952.045197793,9792357.7140361,FALSE,2011-05-20,0
5921,0,664099.677445191,9789608.12478054,FALSE,2011-04-25,7
5936,0,669552.425539435,9788276.75285476,FALSE,2011-01-05,7
5945,5944,666604.710921724,9790210.49052588,TRUE,2011-04-25,7
5979,0,667306.96278779,9799310.53362583,FALSE,2011-04-15,7
5985,0,668900.745227661,9797820.04073673,FALSE,2011-04-15,7
6004,0,667237.230607852,9793243.16948139,FALSE,2011-05-05,7
6093,0,669809.731541015,9791783.34247739,FALSE,2011-04-05,7
6097,0,686607.807543449,9796843.74798231,FALSE,2011-06-08,0
619,0,688501.014046577,9790953.25137625,FALSE,2004-01-27,0
6279,0,669528.70530959,9786974.97098358,TRUE,2011-04-25,7
6746,0,684378.207082452,9796946.24983073,TRUE,2011-12-16,0
7105,0,647804.917758054,9779910.48541846,TRUE,2012-02-15,28
8681,6773,657803.80297935,9809155.20459721,TRUE,2012-02-05,7
7111,0,682751.931261992,9819559.1389103,TRUE,2012-03-16,0
7112,0,655159.9629746,9801339.13998031,TRUE,2012-04-02,0
7116,7467,700189.71669328,9800659.46219052,TRUE,2012-07-04,0
7121,0,682163.812591388,9783126.02502594,TRUE,2012-05-25,7
7122,7121,683192.825883321,9783844.27863333,TRUE,2012-06-16,7
7125,0,684580.677168925,9798858.93357787,TRUE,2012-07-07,0
7145,0,647500.02737661,9798903.56090976,TRUE,2012-03-18,0
7269,0,663409.533822857,9818772.17830966,FALSE,2012-02-15,7
7327,7328,698715.393591782,9803936.45901363,TRUE,2012-03-05,7
7328,0,700128.963058343,9803322.1081109,TRUE,2012-02-25,7
7920,0,672313.67152784,9817737.36752709,TRUE,2013-04-10,0
7962,0,692369.935380797,9800862.34216575,FALSE,2013-03-01,0
7986,0,698613.964406354,9808511.12591855,FALSE,2013-02-18,0
8053,0,681653.787288995,9798798.76363663,TRUE,2012-06-11,0
8056,0,697690.741297172,9806254.1262753,TRUE,2013-05-04,0
8566,7858,689527.901874381,9809036.44500939,TRUE,2013-01-03,0
8692,7925,669176.09548042,9795729.57766294,TRUE,2012-06-01,7
8693,7925,669815.115942009,9796726.50957671,TRUE,2012-06-10,7
9275,0,657249.113959519,9804938.05368261,TRUE,2012-05-07,0
9304,3833,695089.03072224,9806976.51572218,TRUE,2009-05-15,7
9479,9478,653088.517503397,9826515.01262098,TRUE,2014-06-28,0
9487,0,643200.370288347,9820179.833548,FALSE,2014-05-08,0
9500,0,700234.350926674,9794518.66018326,TRUE,2014-07-12,0
9507,0,686364.655386707,9812996.46882028,TRUE,2014-04-18,0
9527,0,662280.182642185,9797328.19904521,FALSE,2014-08-15,0
9,0,692464.196755699,9801093.50553865,FALSE,2003-06-16,0
12,0,688447.246267154,9809816.9407686,FALSE,2003-03-29,0
13,0,689016.955596046,9807747.14348198,FALSE,2003-06-12,0
669,0,670130.41315768,9813369.60160459,FALSE,2004-03-15,28
1709,1606,681566.552111068,9816255.32711466,TRUE,2004-10-25,7
1710,1606,681968.724236013,9816716.81928431,TRUE,2004-10-29,0
1933,1932,683502.369860021,9804022.44864333,TRUE,2005-02-23,28
1934,0,676168.788250337,9811064.64760163,TRUE,2005-07-24,0
1935,0,676547.214441097,9808717.16494763,FALSE,2004-12-15,28
1936,1935,676548.418854925,9810167.10762025,TRUE,2005-01-15,28
1937,0,675921.702828354,9809275.12248091,FALSE,2005-01-15,28
1938,0,680492.731638238,9806992.83158873,TRUE,2005-08-17,0
1939,0,684066.347057398,9805610.14279431,TRUE,2005-09-11,0
1940,0,682590.175370153,9806281.51201584,TRUE,2005-09-11,0
1941,0,682483.98418811,9805250.68732711,TRUE,2005-09-11,0
1942,0,683138.433490347,9805374.0954342,TRUE,2005-09-11,0
1943,0,680486.03829551,9807304.78386553,TRUE,2005-08-02,0
1944,0,682318.838299661,9805752.86080389,FALSE,2004-11-15,28
